wall_time,step,value
1527013828.772558,3031,4.0
1527013829.933369,3035,4.0
1527013831.11134,3039,4.0
1527013832.258879,3043,4.0
1527013833.325012,3047,4.0
1527013834.503404,3051,4.0
1527013835.759514,3055,4.0
1527013836.873795,3059,4.0
1527013838.075072,3063,4.0
1527013839.186524,3067,4.0
1527013840.465085,3071,4.0
1527013841.724405,3075,4.0
1527013842.842533,3079,4.0
1527013844.104471,3083,4.0
1527013845.292559,3087,4.0
1527013846.476987,3091,4.0
1527013847.635453,3095,4.0
1527013848.775682,3099,4.0
1527013849.937819,3103,4.0
1527013850.992225,3107,4.0
1527013852.230804,3111,4.0
1527013853.36771,3115,4.0
1527013854.50477,3119,4.0
1527013855.722524,3123,4.0
1527013856.984012,3127,4.0
1527013858.226137,3131,4.0
1527013859.448967,3135,4.0
1527013860.661589,3139,4.0
1527013861.775219,3143,4.0
1527013862.944988,3147,4.0
1527013864.129168,3151,4.0
1527013865.488065,3156,5.0
1527013866.69577,3160,4.0
1527013867.921137,3164,4.0
1527013869.161693,3168,4.0
1527013870.421876,3172,4.0
1527013871.614326,3176,4.0
1527013872.770621,3180,4.0
1527013873.903344,3184,4.0
1527013875.139507,3188,4.0
1527013876.380103,3192,4.0
1527013877.672781,3196,4.0
1527013878.809786,3200,4.0
1527013879.941243,3204,4.0
1527013881.145557,3208,4.0
1527013882.374287,3212,4.0
1527013883.525444,3216,4.0
1527013884.708017,3220,4.0
1527013885.98243,3224,4.0
1527013887.129263,3228,4.0
1527013888.341944,3232,4.0
1527013889.496177,3236,4.0
1527013890.624234,3240,4.0
1527013891.832495,3244,4.0
1527013893.039041,3248,4.0
1527013894.282914,3252,4.0
1527013895.482872,3256,4.0
1527013896.674395,3260,4.0
1527013897.943515,3264,4.0
1527013899.138712,3268,4.0
1527013900.296281,3272,4.0
1527013901.527034,3276,4.0
1527013902.634023,3280,4.0
1527013903.814369,3284,4.0
1527013905.069791,3288,4.0
1527013906.254766,3292,4.0
1527013907.441869,3296,4.0
1527013908.650362,3300,4.0
1527013909.835614,3304,4.0
1527013910.958696,3308,4.0
1527013912.138497,3312,4.0
1527013913.340384,3316,4.0
1527013914.595386,3320,4.0
1527013915.957624,3324,4.0
1527013917.118861,3328,4.0
1527013918.221538,3332,4.0
1527013919.397229,3336,4.0
1527013920.715463,3340,4.0
1527013921.841742,3344,4.0
1527013923.06284,3348,4.0
1527013924.206287,3352,4.0
1527013925.378367,3356,4.0
1527013926.628774,3360,4.0
1527013927.833569,3364,4.0
1527013929.087763,3368,4.0
1527013930.325853,3372,4.0
1527013931.535578,3376,4.0
1527013932.727916,3380,4.0
1527013933.860763,3384,4.0
1527013935.090231,3388,4.0
1527013936.3256,3392,4.0
1527013937.58499,3396,4.0
1527013938.803248,3400,4.0
1527013939.94042,3404,4.0
1527013941.151004,3408,4.0
1527013942.288909,3412,4.0
1527013943.452071,3416,4.0
1527013944.640873,3420,4.0
1527013945.877933,3424,4.0
1527013947.116286,3428,4.0
1527013948.292615,3432,4.0
1527013949.515729,3436,4.0
1527013950.732622,3440,4.0
1527013951.894802,3444,4.0
1527013953.068036,3448,4.0
1527013954.356919,3452,4.0
1527013955.55246,3456,4.0
1527013956.817764,3460,4.0
1527013957.972789,3464,4.0
1527013959.13266,3468,4.0
1527013960.419556,3472,4.0
1527013961.641599,3476,4.0
1527013962.778072,3480,4.0
1527013964.036931,3484,4.0
1527013965.280454,3488,4.0
1527013966.496455,3492,4.0
1527013967.730445,3496,4.0
1527013968.833691,3500,4.0
1527013970.142825,3504,4.0
1527013971.332143,3508,4.0
1527013972.584902,3512,4.0
1527013973.827891,3516,4.0
1527013974.95202,3520,4.0
1527013976.191106,3524,4.0
1527013977.385736,3528,4.0
1527013978.676847,3532,4.0
1527013979.932307,3536,4.0
1527013981.095429,3540,4.0
1527013982.28997,3544,4.0
1527013983.411286,3548,4.0
1527013984.71062,3552,4.0
1527013985.93102,3556,4.0
1527013987.048347,3560,4.0
1527013988.320466,3564,4.0
1527013989.506737,3568,4.0
1527013990.718598,3572,4.0
1527013991.887974,3576,4.0
1527013993.110561,3580,4.0
1527013994.364754,3584,4.0
1527013995.62675,3588,4.0
1527013996.824631,3592,4.0
1527013997.926465,3596,4.0
1527013999.157528,3600,4.0
1527014000.446681,3604,4.0
1527014001.702087,3608,4.0
1527014002.937528,3612,4.0
1527014004.200197,3616,4.0
1527014005.46294,3620,4.0
1527014006.697321,3624,4.0
1527014007.961923,3628,4.0
1527014009.096834,3632,4.0
1527014010.282654,3636,4.0
1527014011.427041,3640,4.0
1527014012.654636,3644,4.0
1527014013.895847,3648,4.0
1527014015.047638,3652,4.0
1527014016.256557,3656,4.0
1527014017.470799,3660,4.0
1527014018.686603,3664,4.0
1527014019.952003,3668,4.0
1527014021.201281,3672,4.0
1527014022.387759,3676,4.0
1527014023.645504,3680,4.0
1527014024.916078,3684,4.0
1527014026.135481,3688,4.0
1527014027.365072,3692,4.0
1527014028.567396,3696,4.0
1527014029.802846,3700,4.0
1527014031.014638,3704,4.0
1527014032.221416,3708,4.0
1527014033.465228,3712,4.0
1527014034.66175,3716,4.0
1527014035.957463,3720,4.0
1527014037.194861,3724,4.0
1527014038.443957,3728,4.0
1527014039.651585,3732,4.0
1527014040.823521,3736,4.0
1527014042.035828,3740,4.0
1527014043.207639,3744,4.0
1527014044.417002,3748,4.0
1527014045.620477,3752,4.0
1527014046.800519,3756,4.0
1527014047.955557,3760,4.0
1527014049.212978,3764,4.0
1527014050.455161,3768,4.0
1527014051.683505,3772,4.0
1527014052.909549,3776,4.0
1527014054.075922,3780,4.0
1527014055.321461,3784,4.0
1527014056.523913,3788,4.0
1527014057.836043,3792,4.0
1527014059.036178,3796,4.0
1527014060.313619,3800,4.0
1527014061.577838,3804,4.0
1527014062.813359,3808,4.0
1527014063.992958,3812,4.0
1527014065.241854,3816,4.0
1527014066.456473,3820,4.0
1527014067.589193,3824,4.0
1527014068.797904,3828,4.0
1527014070.055249,3832,4.0
1527014071.28787,3836,4.0
1527014072.491928,3840,4.0
1527014073.704193,3844,4.0
1527014074.992142,3848,4.0
1527014076.205306,3852,4.0
1527014077.434479,3856,4.0
1527014078.679968,3860,4.0
1527014079.864605,3864,4.0
